"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.5598492,
"PRT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.8303481,
"PRT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.7717373,
"SVK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4950997,
"SVK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.529347,
"SVK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.5013732,
"ESP","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.8067177,
"ESP","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.8363892,
"ESP","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.8285697,
"SWE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.1817807,
"SWE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.1871249,
"SWE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.1943998,
"TUR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",1.211398,
"TUR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.375335,
"TUR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",1.399682,
"GBR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",2.057495,
"GBR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",2.138599,
"GBR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",2.110357,
"USA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",1.979314,
"USA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.912624,
"USA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",1.890572,
"CHL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",2.565027,
"CHL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",2.600508,
"COL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",1.723475,
"COL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.926523,
"COL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",1.8543,
"EST","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.3435831,
"EST","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4144951,
"EST","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.3541972,
"ISR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",1.064636,
"ISR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",1.206487,
"ISR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",1.198845,
"LVA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.491635,
"LVA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.5325366,
"LVA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.6354833,
"RUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4340167,
"RUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4229786,
"RUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.330538,
"SVN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4279747,
"SVN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4119197,
"SVN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.4157508,
"LTU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.4234453,
"LTU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.4173984,
"LTU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.4209978,
"OAVG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2017",0.8104981,
"OAVG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2018",0.8398797,
"OAVG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2019",0.8006441,
